fid,color_2,Name,Population,White,Blk_AfAm,AmInd_AkNa,Asian,NatHaw_Pac,Other_Race,TwoOrMore,Hisp_Lat,Male,Female,age0_4,age5_11,age12_14,age15_17,age18_24,age25_34,age35_44,age45_64,age65ovr,families,married,married18,malehh,malehh18,femalehh,femalehh18,housing,occupied,occ_own,occ_rent,vacant,vac_rent,vac_sale,vac_other,geodata_eg,pop_dens,pop_chng,hh_chng,avehhsize,created_us,created_da,last_edite,last_edi_1,shape_star,shape_stle,SHAPE__Length,SHAPE__Area
126,5,Keswick,650,553,42,0,39,0,0,16,13,294,356,34,44,20,13,22,63,106,212,136,181,151,54,6,3,24,12,322,313,273,40,9,3,1,5,0.07997295,8127.747613,26,0,2.07667994, ,, ,,2229509.131,8852.934058,3490.138735,346791.8296
127,5,Kresson,440,201,116,2,13,0,97,11,145,247,193,30,36,17,18,54,92,72,97,24,86,31,17,19,4,36,22,191,152,47,105,39,19,4,16,0.26794341,1642.137755,43,16,2.8947401, ,, ,,7469803.854,13318.71046,5248.255516,1160357.158
128,2,Lake Evesham,543,427,90,2,5,0,3,16,11,275,268,39,47,12,13,80,72,88,142,50,123,87,41,9,4,27,19,253,228,146,82,25,8,10,7,0.07108995,7638.209835,60,1,2.38158011, ,, ,,1981866.297,6184.790224,2438.28191,308471.769
129,4,Lake Walker,2095,1063,762,3,89,5,119,54,183,955,1140,174,116,40,32,288,393,282,513,257,419,242,108,48,23,129,66,1190,1059,424,635,131,96,11,24,0.20295479,10322.49574,10,-97,1.96977996, ,, ,,5658032.304,10861.49006,4282.333564,880731.6236
130,2,Lakeland,4551,1370,2509,12,132,3,421,104,889,2289,2262,403,537,195,216,492,813,590,968,337,1069,469,217,158,85,442,257,1739,1581,736,845,158,85,22,51,0.54808907,8303.394802,271,47,2.87792992, ,, ,,15279785.43,15962.78561,6283.40698,2370830.061
131,3,Langston Hughes,1036,9,1006,0,0,0,8,13,12,492,544,67,115,44,42,111,112,126,290,129,236,76,24,24,13,136,55,435,332,175,157,103,30,9,64,0.06047174,17131.96847,-132,-48,3.12048006, ,, ,,1685848.706,5157.419828,2033.959936,262228.7788
132,4,Lauraville,4151,1698,2222,22,52,1,47,109,120,1930,2221,231,345,159,178,352,559,559,1241,527,944,562,205,80,34,302,143,1703,1549,1139,410,154,55,28,71,0.59131377,7019.961635,-224,-78,2.58811998, ,, ,,16484815.94,20785.0177,8198.276267,2564380.635
133,3,Levindale,1218,180,1018,5,1,0,0,14,10,564,654,39,53,22,34,75,72,87,352,484,197,82,14,20,5,95,41,531,493,182,311,38,31,0,7,0.14782164,8239.659438,-21,-2,1.89249002, ,, ,,4121014.421,8920.873332,3517.012783,641181.1195
134,3,Liberty Square,770,9,740,1,2,0,9,9,3,323,447,41,42,15,35,74,88,91,214,170,174,52,14,25,5,97,41,405,371,83,288,34,16,3,15,0.11702097,6580.016914,9,55,2.07546997, ,, ,,3262344.522,8544.129198,3367.333325,507139.2731
135,4,Little Italy,576,494,21,0,21,0,21,19,50,300,276,27,6,2,1,51,169,91,134,95,105,72,17,12,1,21,3,393,322,172,150,71,33,16,22,0.05003339,11512.31043,23,35,1.78882002, ,, ,,1394845.48,5216.832096,2055.522357,216617.1121
136,5,Loch Raven,6163,505,5422,4,120,0,22,90,110,2557,3606,347,474,191,216,653,914,701,1647,1020,1401,614,184,125,53,662,322,2978,2838,1143,1695,140,62,23,55,0.57044916,10803.76723,133,92,2.10747003, ,, ,,15903146.4,19133.19536,7550.717454,2474929.54
137,1,Locust Point,2138,2019,27,7,53,1,10,21,37,1081,1057,117,55,23,30,173,714,319,508,199,461,355,103,39,10,67,18,1292,1046,741,305,246,40,127,79,0.13429989,15919.59554,209,151,2.03823995, ,, ,,3744051.2,9958.625684,3924.476229,581165.4472
138,4,Locust Point Industrial Area,642,547,33,1,31,0,9,21,23,336,306,69,13,2,3,60,199,121,137,38,159,139,52,12,5,8,1,388,289,230,59,99,20,55,24,0.79815532,804.3547151,565,260,2.20414996, ,, ,,22251204.44,58571.14548,23078.79736,3453732.268
