CrimeDateTime,date,year,month,day,crimecode,description,Latitude,Longitude,Latitude_rad,Longitude_rad,Neighborhood,IsBlack,IsWhite
2011-01-07 12:30:00,2011-01-07,2011,1,7,4B,AGG. ASSAULT,39.306531229662,-76.6299392334965,0.6860283874955773,-1.3374447452276936,MADISON PARK,True,False
2011-01-07 15:30:00,2011-01-07,2011,1,7,4B,AGG. ASSAULT,39.3195921510127,-76.5730665037905,0.686256343576491,-1.3364521288397273,BELAIR-EDISON,True,False
2011-01-07 16:15:00,2011-01-07,2011,1,7,4B,AGG. ASSAULT,39.3229377520971,-76.6072534189367,0.6863147353308721,-1.3370488030701282,BETTER WAVERLY,True,False
2011-01-07 17:40:00,2011-01-07,2011,1,7,4D,AGG. ASSAULT,39.3287754552326,-76.5672869775095,0.6864166224713406,-1.3363512570769185,BELAIR-PARKSIDE,True,False
2011-01-07 18:00:00,2011-01-07,2011,1,7,4D,AGG. ASSAULT,39.2898672741745,-76.6100204842274,0.6857375466059147,-1.3370970974700689,DOWNTOWN,False,True
2011-01-07 20:20:00,2011-01-07,2011,1,7,4B,AGG. ASSAULT,39.2837024264745,-76.6887161952941,0.6856299497156656,-1.338470596735381,IRVINGTON,True,False
2011-01-08 00:39:00,2011-01-08,2011,1,8,4D,AGG. ASSAULT,39.2989352584404,-76.5835707219905,0.6858958127878737,-1.336635462032665,MILTON-MONTFORD,True,False
2011-01-08 12:30:00,2011-01-08,2011,1,8,4C,AGG. ASSAULT,39.2859859904002,-76.6477406875284,0.6856698054248489,-1.3377554392121929,CARROLLTON RIDGE,True,False
2011-01-08 13:00:00,2011-01-08,2011,1,8,4C,AGG. ASSAULT,39.2859859904002,-76.6477406875284,0.6856698054248489,-1.3377554392121929,CARROLLTON RIDGE,True,False
2011-01-08 21:35:00,2011-01-08,2011,1,8,4C,AGG. ASSAULT,39.3178950019799,-76.6643127404359,0.6862267227379717,-1.3380446760992435,HANLON-LONGWOOD,True,False
2011-01-08 22:10:00,2011-01-08,2011,1,8,4B,AGG. ASSAULT,39.3043518161935,-76.5993562008538,0.6859903495547898,-1.3369109706128337,OLIVER,True,False
2011-01-09 01:30:00,2011-01-09,2011,1,9,4A,AGG. ASSAULT,39.2949579776971,-76.6227814792397,0.685826396143627,-1.337319818848864,SETON HILL,True,False
2011-01-09 01:30:00,2011-01-09,2011,1,9,4A,AGG. ASSAULT,39.2949579776971,-76.6227814792397,0.685826396143627,-1.337319818848864,SETON HILL,True,False
2011-01-09 01:30:00,2011-01-09,2011,1,9,4A,AGG. ASSAULT,39.2949579776971,-76.6227814792397,0.685826396143627,-1.337319818848864,SETON HILL,True,False
2011-01-09 09:50:00,2011-01-09,2011,1,9,4D,AGG. ASSAULT,39.2609924544837,-76.6344846833896,0.6852335859313905,-1.3375240782943127,WESTPORT,True,False
2011-01-09 15:05:00,2011-01-09,2011,1,9,4C,AGG. ASSAULT,39.3237123738465,-76.5925308446641,0.6863282550308567,-1.336791845674702,COLDSTREAM HOMESTEAD MONTEBELLO,True,False
2011-01-09 19:49:00,2011-01-09,2011,1,9,4D,AGG. ASSAULT,39.2849612655383,-76.6720288298043,0.6856519206020817,-1.3381793472641,CARROLL-SOUTH HILTON,True,False
2011-01-09 22:15:00,2011-01-09,2011,1,9,4D,AGG. ASSAULT,39.346724348827,-76.5981586088433,0.6867298897616531,-1.336890068689155,NEW NORTHWOOD,True,False
2011-01-10 15:46:00,2011-01-10,2011,1,10,4B,AGG. ASSAULT,39.3013209989332,-76.6037864422889,0.6859374518145712,-1.3369882929125343,OLDTOWN,True,False
2011-01-10 20:15:00,2011-01-10,2011,1,10,4B,AGG. ASSAULT,39.3419952770795,-76.6065461638734,0.6866473518890961,-1.3370364591406223,WILSON PARK,True,False
2011-01-10 21:50:00,2011-01-10,2011,1,10,4D,AGG. ASSAULT,39.3298997032033,-76.6626885555669,0.6864362443000382,-1.3380163287256184,PARK CIRCLE,True,False
2011-01-10 23:27:00,2011-01-10,2011,1,10,4C,AGG. ASSAULT,39.2747670295083,-76.6903924872003,0.6854739976186327,-1.3384998535483683,YALE HEIGHTS,True,False
2011-01-11 09:56:00,2011-01-11,2011,1,11,4B,AGG. ASSAULT,39.3483623438088,-76.6840218796879,0.6867584781672166,-1.3383886654719248,ARLINGTON,True,False
2011-01-11 16:35:00,2011-01-11,2011,1,11,4D,AGG. ASSAULT,39.2785119898864,-76.6955655992164,0.6855393595075873,-1.3385901413856238,BEECHFIELD,True,False
2011-01-11 21:35:00,2011-01-11,2011,1,11,4D,AGG. ASSAULT,39.2973815067992,-76.6274657339195,0.6858686947059764,-1.3374015745160284,HERITAGE CROSSING,True,False
2011-01-11 22:23:00,2011-01-11,2011,1,11,4D,AGG. ASSAULT,39.2454270442819,-76.6218715357566,0.6849619182739456,-1.3373039373390767,CHERRY HILL,True,False
2011-01-12 12:56:00,2011-01-12,2011,1,12,4B,AGG. ASSAULT,39.2901701855729,-76.676518980489,0.6857428334071586,-1.3382577151774588,ALLENDALE,True,False
2011-01-12 18:00:00,2011-01-12,2011,1,12,4C,AGG. ASSAULT,39.3471460806548,-76.669995991512,0.6867372503706086,-1.3381438675427388,CENTRAL PARK HEIGHTS,True,False
2011-01-13 15:00:00,2011-01-13,2011,1,13,4C,AGG. ASSAULT,39.3194256347526,-76.6189037679538,0.6862534373194942,-1.3372521400194832,CHARLES VILLAGE,False,True
2011-01-13 21:33:00,2011-01-13,2011,1,13,4B,AGG. ASSAULT,39.3150686326549,-76.595588718168,0.686177393287373,-1.3368452156354549,DARLEY PARK,True,False
2011-01-13 23:30:00,2011-01-13,2011,1,13,4D,AGG. ASSAULT,39.2966000952294,-76.6443703122716,0.6858550565012703,-1.337696615066934,HARLEM PARK,True,False
